,,
code,code_sub,QSBIO_err_prob
4b5m_1,4b5m,1.6
4b5m_2,4b5m,1.6
4b5m_3,4b5m,1.6
4abk_1,4abk,1.6
1lsz_1,1lsz,1.6
3gll_1,3gll,3
1hz6_4,1hz6,24
1hz6_2,1hz6,12.3
1hz6_3,1hz6,12.3
1hz6_5,1hz6,70.3
1hz6_1,1hz6,12.3
4f26_1,4f26,1.6
4bd0_1,4bd0,1.6
2ntu_1,2ntu,7.7
4kv0_1,4kv0,1.6
1b94_1,1b94,7.4
3bum_2,3bum,1.6
3bum_3,3bum,1.6
3gk4_1,3gk4,3.5
4nal_1,4nal,15.4
1vrx_2,1vrx,1.6
1vrx_1,1vrx,1.6
4eg4_2,4eg4,12.3
4eg4_1,4eg4,12.3
1h2x_1,1h2x,1.6
4hs2_1,4hs2,10.5
4ova_1,4ova,24
4g9h_1,4g9h,3.5
3tw9_3,3tw9,3
3tw9_2,3tw9,91.5
3tw9_1,3tw9,91.5
4n9b_1,4n9b,7.4
3qbo_1,3qbo,3.5
3m1x_1,3m1x,3
3pv4_1,3pv4,7.7
4xpj_1,4xpj,15.4
3pbd_1,3pbd,1.6
4hmq_1,4hmq,2.8
4hmq_2,4hmq,2.8
2np1_1,2np1,1.6
2np1_2,2np1,1.6
3pff_2,3pff,10.5
3pff_1,3pff,19.4
1i4l_2,1i4l,10.6
1i4l_1,1i4l,40.5
2zxb_1,2zxb,24
4duv_1,4duv,4.4
5fat_1,5fat,14.3
2d6k_1,2d6k,70.3
5ako_1,5ako,15.7
1ibd_1,1ibd,3.5
1ub9_1,1ub9,7.4
1ql7_1,1ql7,1.6
1op5_1,1op5,NA
1o88_1,1o88,1.6
2zsr_1,2zsr,1.6
1t91_1,1t91,1.6
1t91_4,1t91,1.6
1t91_3,1t91,1.6
1t91_2,1t91,1.6
3uko_2,3uko,7.7
3uko_1,3uko,94
4hi3_1,4hi3,10.5
2aa6_1,2aa6,12.3
2aa6_2,2aa6,12.3
5dzo_1,5dzo,1.6
1gl6_1,1gl6,4.4
5bn7_1,5bn7,1.6
4yx6_1,4yx6,15.4
1z8q_1,1z8q,1.6
4qs8_1,4qs8,1.6
2hlj_1,2hlj,3.5
1vrg_1,1vrg,3
3q0h_2,3q0h,12.3
3q0h_1,3q0h,12.3
4wxp_1,4wxp,1.6
3tmb_1,3tmb,2.8
3tmb_2,3tmb,2.8
5dtk_1,5dtk,14.3
